Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28
2009-12-29,0,1,29,12,4,53,0,0.0,499.0,653.0,312.0,71.42857142857143,157.64285714285714,178.71428571428572
2009-12-30,0,2,30,12,4,53,0,0.0,1.0,464.0,599.0,0.14285714285714285,111.0,167.57142857142858
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,168.0,190.0,0.0,77.85714285714286,146.17857142857142
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,86.0,204.0,0.0,65.85714285714286,139.39285714285714
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,48.0,0.0,59.714285714285715,132.10714285714286
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,72.0,175.0,0.0,59.714285714285715,130.39285714285714
2010-01-04,0,0,4,1,1,1,0,0.0,0.0,264.0,89.0,0.0,54.57142857142857,124.14285714285714
2010-01-05,27,1,5,1,1,1,0,0.0,0.0,499.0,103.0,0.0,35.714285714285715,120.96428571428571
2010-01-06,0,2,6,1,1,1,0,27.0,0.0,1.0,213.0,3.857142857142857,2.0,118.25
2010-01-07,636,3,7,1,1,1,0,0.0,0.0,0.0,307.0,3.857142857142857,1.9285714285714286,110.64285714285714
2010-01-08,48,4,8,1,1,1,0,636.0,0.0,0.0,304.0,94.71428571428571,47.357142857142854,122.39285714285714
2010-01-09,0,5,9,1,1,1,1,48.0,0.0,0.0,0.0,101.57142857142857,50.785714285714285,113.25
2010-01-10,60,6,10,1,1,1,1,0.0,0.0,0.0,105.0,101.57142857142857,50.785714285714285,113.25
2010-01-11,64,0,11,1,1,2,0,60.0,0.0,0.0,148.0,110.14285714285714,55.07142857142857,111.64285714285714
2010-01-12,247,1,12,1,1,2,0,64.0,27.0,0.0,653.0,119.28571428571429,59.642857142857146,108.64285714285714
2010-01-13,7,2,13,1,1,2,0,247.0,0.0,0.0,464.0,150.71428571428572,77.28571428571429,94.14285714285714
2010-01-14,31,3,14,1,1,2,0,7.0,636.0,0.0,168.0,151.71428571428572,77.78571428571429,77.82142857142857
