Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28
2009-12-29,0,1,29,12,4,53,0,0.0,0.0,144.0,48.0,0.0,34.285714285714285,96.53571428571429
2009-12-30,0,2,30,12,4,53,0,0.0,0.0,96.0,435.0,0.0,24.0,94.82142857142857
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,144.0,56.0,0.0,17.142857142857142,79.28571428571429
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,48.0,144.0,0.0,6.857142857142857,77.28571428571429
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,48.0,0.0,3.4285714285714284,72.14285714285714
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,70.42857142857143
2010-01-04,0,0,4,1,1,1,0,0.0,0.0,48.0,96.0,0.0,3.4285714285714284,70.42857142857143
2010-01-05,288,1,5,1,1,1,0,0.0,0.0,0.0,576.0,0.0,0.0,67.0
2010-01-06,0,2,6,1,1,1,0,288.0,0.0,0.0,0.0,41.142857142857146,20.571428571428573,56.714285714285715
2010-01-07,0,3,7,1,1,1,0,0.0,0.0,0.0,384.0,41.142857142857146,20.571428571428573,56.714285714285715
2010-01-08,48,4,8,1,1,1,0,0.0,0.0,0.0,48.0,41.142857142857146,20.571428571428573,43.0
2010-01-09,0,5,9,1,1,1,1,48.0,0.0,0.0,0.0,48.0,24.0,43.0
2010-01-10,0,6,10,1,1,1,1,0.0,0.0,0.0,100.0,48.0,24.0,43.0
2010-01-11,0,0,11,1,1,2,0,0.0,0.0,0.0,288.0,48.0,24.0,39.42857142857143
2010-01-12,288,1,12,1,1,2,0,0.0,288.0,0.0,144.0,48.0,24.0,29.142857142857142
2010-01-13,0,2,13,1,1,2,0,288.0,0.0,0.0,96.0,48.0,44.57142857142857,34.285714285714285
2010-01-14,0,3,14,1,1,2,0,0.0,0.0,0.0,144.0,48.0,44.57142857142857,30.857142857142858
2010-01-15,48,4,15,1,1,2,0,0.0,48.0,0.0,48.0,48.0,44.57142857142857,25.714285714285715
2010-01-16,0,5,16,1,1,2,1,48.0,0.0,0.0,0.0,48.0,48.0,25.714285714285715
2010-01-17,48,6,17,1,1,2,1,0.0,0.0,0.0,0.0,48.0,48.0,25.714285714285715
2010-01-18,0,0,18,1,1,3,0,48.0,0.0,0.0,48.0,54.857142857142854,51.42857142857143,27.428571428571427
2010-01-19,0,1,19,1,1,3,0,0.0,288.0,288.0,0.0,54.857142857142854,51.42857142857143,25.714285714285715
2010-01-20,3,2,20,1,1,3,0,0.0,0.0,0.0,0.0,13.714285714285714,30.857142857142858,25.714285714285715
2010-01-21,0,3,21,1,1,3,0,3.0,0.0,0.0,0.0,14.142857142857142,31.071428571428573,25.821428571428573
2010-01-22,192,4,22,1,1,3,0,0.0,48.0,48.0,0.0,14.142857142857142,31.071428571428573,25.821428571428573
2010-01-23,0,5,23,1,1,3,1,192.0,0.0,0.0,0.0,34.714285714285715,41.357142857142854,32.67857142857143
2010-01-24,96,6,24,1,1,3,1,0.0,48.0,0.0,0.0,34.714285714285715,41.357142857142854,32.67857142857143
