Date,Demand,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_28
2009-12-29,0,1,29,12,4,53,0,0.0,1.0,158.0,144.0,0.14285714285714285,30.0,28.607142857142858
2009-12-30,0,2,30,12,4,53,0,0.0,0.0,117.0,38.0,0.0,18.714285714285715,23.464285714285715
2009-12-31,0,3,31,12,4,53,0,0.0,0.0,72.0,0.0,0.0,10.357142857142858,22.107142857142858
2010-01-01,0,4,1,1,1,53,0,0.0,0.0,0.0,1.0,0.0,5.214285714285714,22.107142857142858
2010-01-02,0,5,2,1,1,53,1,0.0,0.0,0.0,0.0,0.0,5.214285714285714,22.071428571428573
2010-01-03,0,6,3,1,1,53,1,0.0,0.0,72.0,0.0,0.0,5.214285714285714,22.071428571428573
2010-01-04,0,0,4,1,1,1,0,0.0,0.0,0.0,2.0,0.0,0.07142857142857142,22.071428571428573
2010-01-05,2,1,5,1,1,1,0,0.0,0.0,1.0,72.0,0.0,0.07142857142857142,22.0
2010-01-06,0,2,6,1,1,1,0,2.0,0.0,0.0,36.0,0.2857142857142857,0.14285714285714285,19.5
2010-01-07,0,3,7,1,1,1,0,0.0,0.0,0.0,9.0,0.2857142857142857,0.14285714285714285,18.214285714285715
2010-01-08,0,4,8,1,1,1,0,0.0,0.0,0.0,1.0,0.2857142857142857,0.14285714285714285,17.892857142857142
2010-01-09,0,5,9,1,1,1,1,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,17.857142857142858
2010-01-10,0,6,10,1,1,1,1,0.0,0.0,0.0,72.0,0.2857142857142857,0.14285714285714285,17.857142857142858
2010-01-11,0,0,11,1,1,2,0,0.0,0.0,0.0,6.0,0.2857142857142857,0.14285714285714285,15.285714285714286
2010-01-12,722,1,12,1,1,2,0,0.0,2.0,0.0,158.0,0.2857142857142857,0.14285714285714285,15.071428571428571
2010-01-13,0,2,13,1,1,2,0,722.0,0.0,0.0,117.0,103.14285714285714,51.714285714285715,35.214285714285715
2010-01-14,0,3,14,1,1,2,0,0.0,0.0,0.0,72.0,103.14285714285714,51.714285714285715,31.035714285714285
2010-01-15,0,4,15,1,1,2,0,0.0,0.0,0.0,0.0,103.14285714285714,51.714285714285715,28.464285714285715
2010-01-16,0,5,16,1,1,2,1,0.0,0.0,0.0,0.0,103.14285714285714,51.714285714285715,28.464285714285715
2010-01-17,36,6,17,1,1,2,1,0.0,0.0,0.0,72.0,103.14285714285714,51.714285714285715,28.464285714285715
2010-01-18,0,0,18,1,1,3,0,36.0,0.0,0.0,0.0,108.28571428571429,54.285714285714285,27.178571428571427
2010-01-19,0,1,19,1,1,3,0,0.0,722.0,2.0,1.0,108.28571428571429,54.285714285714285,27.178571428571427
2010-01-20,0,2,20,1,1,3,0,0.0,0.0,0.0,0.0,5.142857142857143,54.142857142857146,27.142857142857142
2010-01-21,1,3,21,1,1,3,0,0.0,0.0,0.0,0.0,5.142857142857143,54.142857142857146,27.142857142857142
2010-01-22,50,4,22,1,1,3,0,1.0,0.0,0.0,0.0,5.285714285714286,54.214285714285715,27.178571428571427
2010-01-23,0,5,23,1,1,3,1,50.0,0.0,0.0,0.0,12.428571428571429,57.785714285714285,28.964285714285715
2010-01-24,0,6,24,1,1,3,1,0.0,36.0,0.0,0.0,12.428571428571429,57.785714285714285,28.964285714285715
2010-01-25,0,0,25,1,1,4,0,0.0,0.0,0.0,0.0,7.285714285714286,57.785714285714285,28.964285714285715
2010-01-26,66,1,26,1,1,4,0,0.0,0.0,722.0,0.0,7.285714285714286,57.785714285714285,28.964285714285715
2010-01-27,36,2,27,1,1,4,0,66.0,0.0,0.0,0.0,16.714285714285715,10.928571428571429,31.321428571428573
2010-01-28,12,3,28,1,1,4,0,36.0,1.0,0.0,0.0,21.857142857142858,13.5,32.607142857142854
2010-01-29,36,4,29,1,1,4,0,12.0,50.0,0.0,0.0,23.428571428571427,14.357142857142858,33.035714285714285
